RegistrationNumber,Stream
11701119,Agriculture - B.Tech Food Technology
11704707,Agriculture - B.Tech Food Technology
11705131,Agriculture - B.Tech Food Technology
11706341,Agriculture - B.Tech Food Technology
11706681,Agriculture - B.Tech Food Technology
11706996,Agriculture - B.Tech Food Technology
11709678,Agriculture - B.Tech Food Technology
11710125,Agriculture - B.Tech Food Technology
11710269,Agriculture - B.Tech Food Technology
11712523,Agriculture - B.Tech Food Technology
11714030,Agriculture - B.Tech Food Technology
11714670,Agriculture - B.Tech Food Technology
11714915,Agriculture - B.Tech Food Technology
11715116,Agriculture - B.Tech Food Technology
11715319,Agriculture - B.Tech Food Technology
11715384,Agriculture - B.Tech Food Technology
11715498,Agriculture - B.Tech Food Technology
11715693,Agriculture - B.Tech Food Technology
11715694,Agriculture - B.Tech Food Technology
11716683,Agriculture - B.Tech Food Technology
11718612,Agriculture - B.Tech Food Technology
11718909,Agriculture - B.Tech Food Technology
11802467,Agriculture - B.Tech Food Technology
11904471,Agriculture - M.Tech Food Tech (Companies)
11904530,Agriculture - M.Tech Food Tech (Companies)
11904573,Agriculture - M.Tech Food Tech (Companies)
11904610,Agriculture - M.Tech Food Tech (Companies)
11905157,Agriculture - M.Tech Food Tech (Companies)
11914400,Agriculture - M.Tech Food Tech (Companies)
11701749,Bioengineering and Biosciences - B.Tech Biomedical Engineering
11702533,Bioengineering and Biosciences - B.Tech Biomedical Engineering
11704259,Bioengineering and Biosciences - B.Tech Biomedical Engineering
11707955,Bioengineering and Biosciences - B.Tech Biomedical Engineering
11712681,Bioengineering and Biosciences - B.Tech Biomedical Engineering
11713462,Bioengineering and Biosciences - B.Tech Biomedical Engineering
11715338,Bioengineering and Biosciences - B.Tech Biomedical Engineering
11701542,Bioengineering and Biosciences - B.Tech Biotechnology
11701599,Bioengineering and Biosciences - B.Tech Biotechnology
11701761,Bioengineering and Biosciences - B.Tech Biotechnology
11701802,Bioengineering and Biosciences - B.Tech Biotechnology
11701834,Bioengineering and Biosciences - B.Tech Biotechnology
11702030,Bioengineering and Biosciences - B.Tech Biotechnology
11702327,Bioengineering and Biosciences - B.Tech Biotechnology
11702802,Bioengineering and Biosciences - B.Tech Biotechnology
11703869,Bioengineering and Biosciences - B.Tech Biotechnology
11704000,Bioengineering and Biosciences - B.Tech Biotechnology
11704012,Bioengineering and Biosciences - B.Tech Biotechnology
11704265,Bioengineering and Biosciences - B.Tech Biotechnology
11704321,Bioengineering and Biosciences - B.Tech Biotechnology
11704837,Bioengineering and Biosciences - B.Tech Biotechnology
11704839,Bioengineering and Biosciences - B.Tech Biotechnology
11705037,Bioengineering and Biosciences - B.Tech Biotechnology
11706249,Bioengineering and Biosciences - B.Tech Biotechnology
11706441,Bioengineering and Biosciences - B.Tech Biotechnology
11707099,Bioengineering and Biosciences - B.Tech Biotechnology
11707187,Bioengineering and Biosciences - B.Tech Biotechnology
11708064,Bioengineering and Biosciences - B.Tech Biotechnology
11708205,Bioengineering and Biosciences - B.Tech Biotechnology
11708230,Bioengineering and Biosciences - B.Tech Biotechnology
11708770,Bioengineering and Biosciences - B.Tech Biotechnology
11708836,Bioengineering and Biosciences - B.Tech Biotechnology
11709029,Bioengineering and Biosciences - B.Tech Biotechnology
11710007,Bioengineering and Biosciences - B.Tech Biotechnology
11710273,Bioengineering and Biosciences - B.Tech Biotechnology
11710438,Bioengineering and Biosciences - B.Tech Biotechnology
11710961,Bioengineering and Biosciences - B.Tech Biotechnology
11711162,Bioengineering and Biosciences - B.Tech Biotechnology
11711690,Bioengineering and Biosciences - B.Tech Biotechnology
11711838,Bioengineering and Biosciences - B.Tech Biotechnology
11712025,Bioengineering and Biosciences - B.Tech Biotechnology
11712322,Bioengineering and Biosciences - B.Tech Biotechnology
11712558,Bioengineering and Biosciences - B.Tech Biotechnology
11713140,Bioengineering and Biosciences - B.Tech Biotechnology
11713424,Bioengineering and Biosciences - B.Tech Biotechnology
11713498,Bioengineering and Biosciences - B.Tech Biotechnology
11713649,Bioengineering and Biosciences - B.Tech Biotechnology
11714067,Bioengineering and Biosciences - B.Tech Biotechnology
11714107,Bioengineering and Biosciences - B.Tech Biotechnology
11714386,Bioengineering and Biosciences - B.Tech Biotechnology
11714780,Bioengineering and Biosciences - B.Tech Biotechnology
11714801,Bioengineering and Biosciences - B.Tech Biotechnology
11714981,Bioengineering and Biosciences - B.Tech Biotechnology
11715376,Bioengineering and Biosciences - B.Tech Biotechnology
11715501,Bioengineering and Biosciences - B.Tech Biotechnology
11716313,Bioengineering and Biosciences - B.Tech Biotechnology
11717225,Bioengineering and Biosciences - B.Tech Biotechnology
11717702,Bioengineering and Biosciences - B.Tech Biotechnology
11718335,Bioengineering and Biosciences - B.Tech Biotechnology
11718403,Bioengineering and Biosciences - B.Tech Biotechnology
11718475,Bioengineering and Biosciences - B.Tech Biotechnology
11602760,Bioengineering and Biosciences - M.Tech Biotechnology (Companies)
11603363,Bioengineering and Biosciences - M.Tech Biotechnology (Companies)
11607731,Bioengineering and Biosciences - M.Tech Biotechnology (Companies)
11612477,Bioengineering and Biosciences - M.Tech Biotechnology (Companies)
11616304,Bioengineering and Biosciences - M.Tech Biotechnology (Companies)
11617289,Bioengineering and Biosciences - M.Tech Biotechnology (Companies)
11903137,Bioengineering and Biosciences - M.Tech Biotechnology (Companies)
11911849,Bioengineering and Biosciences - M.Tech Biotechnology (Companies)
11601355,CAP - MCA
